GAME,TEAM,PLAYER,MIN,PTS,REB,AST,STL,BLK,TO,FO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,+/-,EFF
LAT1,Latvia,Kristers Zoriks,21,6,2,2,2,0,0,4,2,9,22.0,2,4,50.0,0,5,0.0,2,2,100.0,1,1,-19,5
LAT1,Latvia,Klavs Cavars,9,4,1,1,1,1,0,1,2,2,100.0,2,2,100.0,0,0,0.0,0,0,0.0,1,0,-5,8
LAT1,Latvia,Davis Bertans,23,3,2,1,0,0,0,4,1,3,33.0,0,0,0.0,1,3,33.0,0,0,0.0,0,2,-20,4
LAT1,Latvia,Janis Timma,9,3,0,1,1,0,1,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,0,-2,3
LAT1,Latvia,Mareks Mejeris,20,2,6,2,0,0,0,1,0,1,0.0,0,0,0.0,0,1,0.0,2,2,100.0,4,2,-9,9
LAT1,Latvia,Dairis Bertans,17,0,1,2,0,0,0,2,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,-10,2
LAT1,Latvia,Rodions Kurucs,22,0,4,1,0,0,1,4,0,5,0.0,0,3,0.0,0,2,0.0,0,2,0.0,2,2,-8,-3
LAT1,Brazil,Bruno Caboclo,30,21,4,1,0,2,2,4,4,6,67.0,3,5,60.0,1,1,100.0,12,13,92.0,0,4,19,23
LAT1,Brazil,Leo Meindl,34,20,9,1,2,0,2,3,4,10,40.0,0,3,0.0,4,7,56.99999999999999,8,9,89.0,2,7,22,23
LAT1,Brazil,George De Paula,29,14,3,5,1,1,2,2,4,8,50.0,1,2,50.0,3,6,50.0,3,4,75.0,1,2,25,17
LAT1,Brazil,Gui Santos,27,12,7,3,2,0,0,3,4,9,44.0,3,5,60.0,1,4,25.0,3,4,75.0,3,4,15,18
LAT1,Brazil,Marcelinho Huertas,26,12,4,7,0,0,3,2,5,10,50.0,4,8,50.0,1,2,50.0,1,2,50.0,1,3,6,14
LAT1,Brazil,Vitor Benite,17,9,1,0,0,0,0,3,3,6,50.0,2,5,40.0,1,1,100.0,2,2,100.0,0,1,4,7
LAT1,Brazil,Lucas Dias,21,3,5,1,1,0,1,3,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,4,15,9
LAT1,Brazil,Yago Santos,8,3,0,2,1,0,1,0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,14,5
LAT1,Brazil,Cristiano Felicio,3,0,0,0,0,0,0,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4,0
LAT1,Brazil,Joao Cardoso,2,0,0,0,0,0,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,-2,-1
LAT1,Brazil,Didi Louzada,3,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,3,-1
