GAME,TEAM,PLAYER,MIN,PTS,REB,AST,STL,BLK,TO,FO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,+/-,EFF
FRA3,France,Mathias Lessort,14,8,3,1,1,0,1,4,2,4,50.0,2,4,50.0,0,0,0.0,4,8,50.0,1,2,3,6
FRA3,France,Nicolas Batum,25,5,1,1,1,0,2,3,1,3,33.0,0,0,0.0,1,3,33.0,2,2,100.0,1,0,5,4
FRA3,France,Matthew Strazel,17,5,0,1,0,0,2,1,1,6,17.0,0,1,0.0,1,5,20.0,2,2,100.0,0,0,-3,-1
FRA3,France,Bilal Coulibaly,22,3,4,3,0,0,1,2,1,4,25.0,1,3,33.0,0,1,0.0,1,2,50.0,3,1,-17,5
FRA3,France,Rudy Gobert,12,3,3,1,0,0,2,4,1,2,50.0,1,2,50.0,0,0,0.0,1,2,50.0,2,1,-15,3
FRA3,France,Andrew Albicy,5,0,1,0,0,0,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-8,0
FRA3,France,Isaia Cordinier,8,0,0,0,1,0,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,-4,0
FRA3,France,Nando De Colo,5,0,0,0,0,0,0,1,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,-13,-1
FRA3,Serbia,Nikola Jokic,30,20,12,1,0,0,4,5,8,13,62.0,7,11,64.0,1,2,50.0,3,8,38.0,8,4,12,19
FRA3,Serbia,Bogdan Bogdanovic,27,15,1,2,1,0,3,3,5,9,56.00000000000001,4,5,80.0,1,4,25.0,4,6,67.0,0,1,-2,10
FRA3,Serbia,Aleksa Avramovic,20,9,0,3,3,0,1,1,4,7,56.99999999999999,4,5,80.0,0,2,0.0,1,2,50.0,0,0,9,10
FRA3,Serbia,Vanja Marinkovic,29,8,3,1,1,0,0,3,3,7,43.0,1,1,100.0,2,6,33.0,0,0,0.0,1,2,9,9
FRA3,Serbia,Ognjen Dobric,9,7,2,0,1,0,0,0,3,5,60.0,2,2,100.0,1,3,33.0,0,0,0.0,2,0,10,8
FRA3,Serbia,Marko Guduric,15,7,1,1,0,0,1,2,2,6,33.0,1,1,100.0,1,5,20.0,2,3,67.0,0,1,10,3
FRA3,Serbia,Filip Petrusev,22,6,5,2,2,0,0,3,2,2,100.0,0,0,0.0,2,2,100.0,0,0,0.0,1,4,-1,15
FRA3,Serbia,Vasilije Micic,20,5,1,3,2,0,3,3,2,6,33.0,1,3,33.0,1,3,33.0,0,0,0.0,0,1,3,4
FRA3,Serbia,Nikola Milutinov,20,2,1,0,1,0,0,2,0,2,0.0,0,2,0.0,0,0,0.0,2,4,50.0,0,1,18,0
FRA3,Serbia,Uros Plavsic,8,0,3,0,0,0,1,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,-8,2
FRA4,France,Guerschon Yabusele,22,19,4,2,0,0,2,3,6,11,55.00000000000001,2,4,50.0,4,7,56.99999999999999,3,3,100.0,3,1,-7,18
FRA4,France,Rudy Gobert,24,12,6,0,0,0,3,3,6,6,100.0,6,6,100.0,0,0,0.0,0,3,0.0,1,5,-13,12
FRA4,France,Nando De Colo,15,11,4,1,0,0,2,0,3,5,60.0,2,3,67.0,1,2,50.0,4,4,100.0,1,3,0,12
FRA4,France,Victor Wembanyama,25,10,7,4,2,0,3,2,4,7,56.99999999999999,2,3,67.0,2,4,50.0,0,1,0.0,0,7,-7,16
FRA4,France,Mathias Lessort,11,6,1,0,1,0,1,1,2,3,67.0,2,3,67.0,0,0,0.0,2,2,100.0,0,1,4,6
FRA4,France,Bilal Coulibaly,21,5,3,0,1,1,1,0,2,6,33.0,2,3,67.0,0,3,0.0,1,1,100.0,0,3,-9,5
FRA4,France,Isaia Cordinier,14,4,1,1,0,0,1,2,1,2,50.0,1,1,100.0,0,1,0.0,2,2,100.0,0,1,-3,4
FRA4,France,Evan Fournier,24,3,0,3,2,0,2,3,1,7,14.000000000000002,0,3,0.0,1,4,25.0,0,0,0.0,0,0,-13,0
FRA4,France,Frank Ntilikina,16,3,1,3,1,0,3,3,0,5,0.0,0,3,0.0,0,2,0.0,3,4,75.0,0,1,5,-1
FRA4,France,Andrew Albicy,13,0,0,3,2,0,0,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,-6,5
FRA4,France,Matthew Strazel,14,0,1,3,0,0,1,3,0,3,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,1,-11,0
FRA4,Canada,Shai Gilgeous-Alexander,28,23,5,5,2,0,0,3,6,13,46.0,4,7,56.99999999999999,2,6,33.0,9,10,90.0,1,4,15,27
FRA4,Canada,R.J. Barrett,29,21,4,3,0,0,3,3,4,8,50.0,1,4,25.0,3,4,75.0,10,12,83.0,0,4,12,19
FRA4,Canada,Kelly Olynyk,14,14,1,1,0,0,1,3,6,7,86.0,4,4,100.0,2,3,67.0,0,0,0.0,0,1,2,14
FRA4,Canada,Andrew Nembhard,19,10,1,5,0,0,0,0,5,8,62.0,5,6,83.0,0,2,0.0,0,0,0.0,0,1,-6,13
FRA4,Canada,Dillon Brooks,26,8,2,0,2,0,1,3,2,7,28.999999999999996,0,3,0.0,2,4,50.0,2,2,100.0,0,2,8,6
FRA4,Canada,Dwight Powell,20,4,5,3,1,1,0,3,1,1,100.0,1,1,100.0,0,0,0.0,2,2,100.0,0,5,12,14
FRA4,Canada,Khem Birch,12,3,6,3,0,1,0,2,1,2,50.0,1,2,50.0,0,0,0.0,1,2,50.0,2,4,2,11
FRA4,Canada,Trey Lyles,15,2,1,1,3,0,0,3,0,2,0.0,0,0,0.0,0,2,0.0,2,2,100.0,0,1,1,5
FRA4,Canada,Luguentz Dort,20,0,2,1,1,1,1,3,0,4,0.0,0,0,0.0,0,4,0.0,0,0,0.0,1,1,20,0
FRA4,Canada,Thomas Scrubb,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0
FRA4,Canada,Mfiondu Kabengele,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0
FRA4,Canada,Melvin Ejim,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0
FRA4,Canada,Philip Scrubb,1,0,0,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,-1
FRA4,Canada,Nickeil Alexander-Walker,13,0,0,0,0,0,4,2,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,-6,-6
FRA5,France,Victor Wembanyama,26,17,12,8,0,1,4,0,7,15,47.0,4,5,80.0,3,10,30.0,0,0,0.0,2,10,5,26
FRA5,France,Nicolas Batum,24,12,4,1,1,0,4,0,4,6,67.0,0,1,0.0,4,5,80.0,0,0,0.0,1,3,14,12
FRA5,France,Guerschon Yabusele,18,10,1,1,1,0,1,0,4,9,44.0,2,4,50.0,2,5,40.0,0,0,0.0,1,0,0,7
FRA5,France,Rudy Gobert,21,8,7,1,1,1,1,0,4,5,80.0,4,5,80.0,0,0,0.0,0,0,0.0,2,5,0,16
FRA5,France,Matthew Strazel,15,7,1,3,0,0,2,1,1,3,33.0,0,1,0.0,1,2,50.0,4,4,100.0,0,1,10,7
FRA5,France,Frank Ntilikina,11,7,0,0,1,0,0,0,2,5,40.0,1,3,33.0,1,2,50.0,2,2,100.0,0,0,-6,5
FRA5,France,Mathias Lessort,14,6,3,2,1,0,0,4,3,6,50.0,3,6,50.0,0,0,0.0,0,0,0.0,1,2,-3,9
FRA5,France,Andrew Albicy,14,5,0,1,0,0,1,2,2,3,67.0,1,1,100.0,1,2,50.0,0,0,0.0,0,0,-5,4
FRA5,France,Evan Fournier,18,5,0,1,1,0,4,2,2,6,33.0,1,3,33.0,1,3,33.0,0,0,0.0,0,0,-13,-1
FRA5,France,Nando De Colo,18,3,2,4,2,0,2,3,1,5,20.0,0,2,0.0,1,3,33.0,0,0,0.0,1,1,7,5
FRA5,France,Isaia Cordinier,12,2,1,0,0,0,2,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0.0,0,1,-19,0
FRA5,France,Bilal Coulibaly,9,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,5,2
FRA5,Australia,Patty Mills,29,24,2,3,1,0,1,0,10,16,62.0,7,9,78.0,3,7,43.0,1,1,100.0,0,2,8,23
FRA5,Australia,Josh Giddey,27,20,6,8,2,2,7,0,7,16,44.0,3,8,38.0,4,8,50.0,2,3,67.0,1,5,1,21
FRA5,Australia,Dyson Daniels,28,14,2,5,5,0,2,1,6,9,67.0,4,5,80.0,2,4,50.0,0,0,0.0,0,2,-8,21
FRA5,Australia,Will Magnay,16,10,2,0,0,1,1,3,4,6,67.0,4,6,67.0,0,0,0.0,2,2,100.0,0,2,-4,10
FRA5,Australia,Duop Reath,15,10,2,0,1,0,0,0,4,7,56.99999999999999,2,3,67.0,2,4,50.0,0,1,0.0,1,1,1,9
FRA5,Australia,Jack McVeigh,14,3,4,0,0,0,0,0,1,5,20.0,0,2,0.0,1,3,33.0,0,0,0.0,1,3,10,3
FRA5,Australia,Dante Exum,7,2,1,2,0,0,2,0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,1,0,-6,3
FRA5,Australia,Josh Green,17,0,0,2,3,0,1,4,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,2,3
FRA5,Australia,Nick Kay,28,0,4,1,0,0,2,4,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,1,3,2,1
FRA5,Australia,Jock Landale,9,0,1,0,0,0,0,1,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,2,0
FRA5,Australia,Joe Ingles,4,0,0,0,1,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,-5,0
FRA5,Australia,Matthew Dellavedova,6,0,0,0,0,0,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2,-1
